SISN,REFD,LEVELDES,TITLE,DATECR,DATEACM,PHDESC,REFD_HIGHER,SCOPE,RESTRTX,TGU,ISA,CUSTOD,ASSMAT,RELMAT,AVAIL,PHYSCO,NOTES,ACCRUAL,FCODES,STATUSD,WEBD,DATESUBJ,DATEDSRC_BEGINNING,DATEDSRC_END,SCALE,GMD_1,GMD_2,GMD_3,GMD_4,GMD_5,GMD_6,GMD_7,GMD_8,ADMBIO,INDEXGEO_1,INDEXGEO_2,INDEXGEO_3,INDEXGEO_4,INDEXGEO_5,INDEXGEO_6,INDEXGEO_7,INDEXGEO_8,INDEXGEO_9,INDEXGEO_10,INDEXGEO_11,INDEXGEO_12,INDEXGEO_13,INDEXGEO_14,INDEXGEO_15,INDEXGEO_16,INDEXGEO_17,INDEXGEO_18,INDEXGEO_19,INDEXGEO_20,INDEXGEO_21,MODDATE,INDEXPROV,INDEXNAME,INDEXSUB,HOWTO,FINDAID:FINDAIDLINK:FINDAID_URL,IIL:IIL_URL,DATEOFF:OFFICEAB:AB_REFA:OFFICEC:C_REFA
80,C 258,Fonds,CHIN Radio/TV International collection,1979-1991,,"35 videocassettes (circa 17 hrours, 16 minutes)",,"Collection consists of videocassettes of television programming produced by CHIN.  Collection includes variety shows, documentaries, advertisements and dramatic productions, as well as footage of CHIN sponsored picnics and musical contests held at Ontario Place in Toronto. Also included is a history of CHIN, editions of Festival Italiano and Musica, Musica, an Easter show and a Christmas show, all from the 1980s.",No restrictions on access.,"Copyright primarily held by CHIN Radio/TV International. There are no restrictions on reproduction for research and private study.  If you wish to use other than for research and private study any of this material, submit a Request for Permission to Publish, Exhibit or Broadcast Form.",Material was obtained by the Archives of Ontario from CHIN Radio/Television International on a copy loan basis in two accessions in 1990 and 1991.,,,,DVD reference copies for some items are available in the Reading Room.,,"Title based on contents of fonds.  Programming is produced in a variety of languages, including Greek, Italian, Macedonian, Polish, Portuguese and Punjab.",No further accruals are expected.,"Accession numbers 24122, 24449",Approved,Y,,1979,1991,,Moving images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,CHIN Radio/TV International,,,Consult the online list to identify the records that you require. Order using reference code and barcode number.Please note that this material is stored off-site. A minimum of 1-2 business days is required to retrieve the material from storage. Please contact a Reference Archivist for more information.DVD reference copies for some items are available in the Reading Room.,An online list is available for this collection. : : :,: :,: : : : :
81,C 262,Fonds,Canada Packers fonds,1845-1991,,1.5 metres of textual records; 1106 photographs : black and white prints; 336 photographs : colour negatives; 113 photographs : colour prints; 23 photographs : black and white contact prints; 17 volumes of textual records; 6 film reels (87 minutes) : colour ; 16 mm; 5 audio reels (ca. 2 hours); 4 photographs : black and white negatives; 3 posters; 2 scrapbooks (textual material); 2 photographs : black and white photomechanical reproductions; 1 postcard; 1 drawing,,"Fonds consists of textual records, photographs, sound and moving image materials pertaining to the personnel, facilities, products and activities of Canada Packers, Inc. and its various predecessor companies. Companies represented include the William Davies Company, Ltd., Gordon-Ironside and Fares Company Ltd. (Fort William branch), Canadian Packing Company, Ltd., Gunns, Ltd., Harris Abattoir Company, Ltd., and Canada Packers, Inc.  Photographic records include images of meat packing and processing plants, slaughterhouses, product advertisements, delivery vehicles, and workers as well as photographs of conventions and meetings, presentations, special events, employee activities, and visiting dignitaries. Also included are photographs of senior management personnel such as J.S. McLean, W.F. McLean, William Davies, William Harris, James Harris, and Sir Joseph Flavelle.  Textual records include minute books and financial records, price lists, correspondence, personnel records, annual sales conference programs, annual reports, and a collection of the employee newspaper, ""The Maple Leaf."" Included are the working files of J.S. McLean relating to the 1927 merger which formed Canada Packers, as well as bulletins relating to the July 1947 strike.  Moving image records include films produced for Canada Packers or sponsored by the company such as commercials for various Canada Packers products, as well as films pertaining to the 50th anniversary of the Royal Agricultural Winter Fair, Ontario Auctioneering Championship, quilting competitions, and a short dramatic presentation.  Soudn recordings include a description of the activities of the Shur-Grain Research Farm near Toronto and the audio portion of a multimedia presentation dealing with the 50th anniversary of Canada Packers, which also utilized slides. The slides component of this presentation are missing.  Fonds has been arranged into 7 series.",Please see individual series descriptions for more information about access restrictions.,Please see individual series descriptions for more information about terms governing use.,,"The Canada Packers fonds was acquired by the Archives of Ontario in 1991 from Maple Leaf Foods, Inc. The fonds had been collected and assembled for Canada Packers by a former public relations employee.",,,Some films are available as DVD reference copies or as digital files that will be made available upon request.,,Title based on contents of fonds.,,Accession number: 24476.,Review,Y,,1845,1991,,Textual records,Graphic materials,Sound recordings,Moving images,Moving images,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,Canada Packers,,,Please see individual series descriptions for more information regarding how to order your records.,Please see individual series descriptions for more information about the availability of finding aids. : : :,: :,: : : : :
82,C 263,Fonds,Bellevue Path� Quebec fonds,[ca. 1970]-1975,,ca. 100 film reels,,"Fonds consists of films created by Bellevue Path� Quebec for Ontario's Ministry of Agriculture and Food and Ministry of Trade and Development, as well as footage pertaining to Ontario Liberal Party candidate Harry Nixon's 1975 Ontario general election campaign.  Collection includes footage pertaining to Ontario Place at Expo 1970, roadside fruit marketing, Burleigh Falls, the French River, children in Ottawa and explosions.",No access restrictions.,Copyright held by creator. These materials cannot be published or reproduced without permission of the copyright holder.,,"When the Montreal office of Bellevue Path� Quebec closed in 1977, films in its storage vaults were donated to the Moving Image and Sound Archives at the National Archives of Canada. Film with Ontario content was then separated in 1986-1987, and was donated to the Archives of Ontario in 1989.",,,,,Title based on contents of fonds.,,Accession number 24194.,Approved,Y,,1968,1975,,Sound recordings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2001,Bellevue Path� Quebec,,,"To view these records, please consult with a Reference Archivist.",No finding aid is available for these records. : : :,: :,: : : : :
83,C 265,Fonds,Dean Sherratt fonds,1966-1975,,20 maps,,"Fonds is comprised of blueprint and diazo print copies of election district maps showing poll districts in 19 Metropolitan Toronto provincial ridings. The blueprints and diazo prints were used as base maps, with polls being coloured in on the maps. Different colours denoted different political parties, with the colours' varying intensity reflecting the margin of victory.",No access restrictions.,Copyright transferred to the Archives of Ontario by donor. No restrictions on reproduction or publication of material for which the donor is authorized to transfer the copyright to the Archives. Other material may require permission of third party copyright holders.,Material was acquired by Dean Sherratt from the Progressive Conservative Party of Ontario ca. 1975-1976. He then donated the fonds to the Archives of Ontario in 1992.,,,"Other provincial electoral district maps can be found in Series RG 49-54 and RG 49-55, Legislative Assembly Records, Chief Electoral Officer.",,,Title based on primary source of acquisition.,,Accession number 24670.,Approved,Y,,1966,1975,,Cartographic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/13/2002,"Sherratt, Dean, 1954-",,,First consult the inventory for C 265 to narrow down your search.,Inventory is available for this fonds. : : :,: :,: : : : :
84,C 267,Fonds,Alexander Isbester family fonds,1870-1995,,ca. 2700 photographs : prints and negatives; 43.5 centimetres of textual records,,"Fonds consists of black and white photographic negatives and prints pertaining to the engineering activities of Alexander and James Isbester. Subjects include aspects of railroad, highway and breakwater construction projects, as well as images of the Isbesters' family life and turn-of-the- century student life at the University of Toronto.  Fonds includes 366 photographs in two albums, as well as 94 cellulose nitrate film negatives mainly concerned with the construction of the Canadian Pacific Railway's Toronto- Sudbury railroad from 1904 to 1908. Captions identifying individuals, geographic locations and dates of the photographs are included. As well, some of the photographs depict construction scenes regarding the Algoma Central Railway (1900), the Ottawa Northern and Western Railway, as well as the Canadian Pacific Railway in Saskatoon. Photographs from Alexander Isbester's later projects, including the Grand Trunk Railway (1920) and the breakwater at Port Arthur (1928) are also included.  Also included are photographs dealing with construction of the Canadian National Railway's Longlac-Nakina railway branch. These are composed of one album of 253 photographic prints, 83 nitrate film negatives, and accompanying captions. Subjects include railway construction, life in the construction camps, and aboriginal peoples, including a treaty signing. Also included are Isbester family scenes.  Thunder Bay District road construction is also represented by two albums of photographs. Included in the albums are 671 photographic prints, 386 negatives, and corresponding captions. The first album includes photos of road construction crews, recreational photographs and general landscape photographs taken by James Isbester. The second album consists of construction progress photos, including images of machinery and snow removal, taken by Alexander Isbester. The captions identify geographic locales, dates and many of the individuals appearing in the prints. Geographic locations include Nipigon, Red Rock, Port Arthur, Fort William (now Thunder Bay), and Thunder Cape.  Fonds also includes 13 photographs and accompanying captions of the 1928 construction of the Port Burwell Breakwater on Lake Erie. As well, there are 290 photographs depicting construction of a cement factory in northern Pakistan in 1955, as well as a single album containing 16 black and white photographs of various locales in the United States, including California, the eastern coastline and the area near Niagara falls, New York. This album of American scenes was found in the Isbester family home in 1972, and the origin, as well as the photographer, is unknown.  In addition, included in the fonds is one album containing 38 gelatin photographic prints dealing with Alexander Isbester's student life at the University of Toronto. Subjects include university buildings, student groups, the Kappa Alpha fraternity, parties and athletics.  Fonds also contains records accumulated and created by James Emery Isbester with genealogical and historical information about the Emery and lsbester families and the Emery Lumber Mills.",Access to unit C 267-3-2-1.2 is restricted for conservation reasons. All other material is not restricted.,"Copyright for much of the photographic portion of this fonds has expired, and most photos can be reproduced and/or published. Copyright for other portions of the fonds rests with the creator. Permission of the Archives of Ontario is required for publication.","The fonds was donated to the Archives of Ontario by James Isbester in four accessions: 1965, 1979, 1987, and 1988.; Records that belong to C 267-8 series were donated to the Archives of Ontario by Mr. David W. Monaghan in 2018.",,,,,,Title based on contents of fonds.  Records in series C 267-8 consist of a separate accrual. Please consult the series description for more specific details.,,"Accession numbers 3924, 12825, 21094, 21124.",Approved,Y,,1870,1995,,Graphic materials,Textual records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Isbester, Alexander John, 1879-1942Isbester, James Emery, 1914-Isbester, James Emery, 1914-1997",,,First consult the series and sub-series descriptions to narrow down your search.,Item listings are available for most of this material. Please see series and sub-series descriptions. : : :,: :,: : : : :
85,C 271,Fonds,Hugh Wilson fonds,1846-1887,,45 plans; 15 items of textual records,,"Fonds consists of cartographic and textual records created, used and acquired by Hugh Wilson in his capacity as a public land surveyor.  Included in the fonds are manuscript maps, survey contracts and instructions, pamphlets and field notes pertaining to the mineral location surveys of the north shore and islands of Lake Superior.  Other items are surveys of various Ontario communities, townships, and railways, as well as a general map of the Dominion of Canada, and a few New Brunswick sheets produced by the Geological Survey of Canada. Numerous Ontario surveyors are represented in the collection including Thomas Devine, J. McNaughton, Isaac Traynor, David Gibson, and Sanford Fleming.",See series descriptions.,Copyright restrictions for these materials have expired. Restrictions may be placed on copying given the size of items.  Permission of the Archives of Ontario is required for publication.,"Fonds was donated to the Archives of Ontario in 1979 by Jack Gallacher of Brampton, Ontario",,,"F 378, The Hiram Walker Historical Museum Papers, Wilkinson Family Papers, contain field notes and maps concerning the north shore and islands of Lake Superior.",,,Title based on contents of fonds.,,Accession number 12958.,Approved,Y,,1846,1887,,Textual records,Cartographic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/13/2002,"Wilson, Hugh, d. 1890",,,Please see series and sub-series descriptions.,See series and sub-series descriptions for detailed information about these records and how to view them. : : :,: :,: : : : :
86,C 274,Fonds,CJRT-FM fonds,1971-1990,,"41 audio cassettes (ca. 31 hours); 215 audio reels (ca. 152 hours, 30 minutes); 20 videocassettes (ca. 25 hours)",,"Fonds consists of audio reels, audio cassettes and videocassettes (sound recordings only) relating to programming activities of CJRT-FM, Inc. The fonds is comprised of general programs such as music and informational programming, as well as programming related to its ""Open College"" radio activities.  Fonds includes broadcasts of concerts from its CJRT Festival series, as well as general music programming, and broadcasts of speeches from the Canadian Club and the Empire Club of Canada, with speakers including business, industry and political personalities such as John Pearce Bunting, Barbara Amiel, Maureen McTeer, Michael Wilson, Sinclair Stevens, John Sewell, Frank Miller, and Art Eggleton. Other CJRT informational programs are represented, including broadcasts of News Journal, On the Arts, and Science Journal.  Also included are audio recordings of programs related to CJRT's first Open College course, ""Introduction to Sociology"", as well as programming from other non-credit courses. The courses were offered in collaboration with Ryerson Polytechnical Institute.",No restrictions on access.,"Copyright primarily held by CJRT-FM. Fonds also contains material owned by other copyright owners. To find out more about the copyright status of the particular material you wish to use, consult a Reference Archivist. There are no restrictions on reproduction for research and private study. If you wish to use other than for research and private study any of this material, submit a Request for Permission to Publish, Exhibit or Broadcast Form.",,The records were acquired by the Archives of Ontario from CJRT-FM in two accessions in 1992.,,Additional material dealing with CJRT-FM may be found in records of the Ministry of Culture and Communications. Please consult archivist for details.,,,Title based on contents of fonds.  The video cassettes contain sound not moving images.  Some of the sound records are stored in boxes.,No further accruals are expected.,Accession numbers 24603 and 25695.,Approved,Y,,1971,1990,,Sound recordings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,CJRT-FM,,,Consult the online list to identify the records that you require. Order using reference code and barcode number.Please note that this material is stored off-site. A minimum of 1-2 business days is required to retrieve the material from storage. Please contact a Reference Archivist for more information.,Consult the individual series descriptions for finding aid information. : : :,: :,: : : : :
87,C 275,Fonds,Duncan Campbell Scott fonds,[ca. 1905-ca. 1906],,186 photographs : black and white cabinet cards ; 20 photographs : black and white prints,,"Fonds consist of photographs created by Duncan Campbell Scott during his tenure as a civil servant for the Department of Indian Affairs for the Federal Government.  Included are photographs taken during the Commissioners' visit in 1905-1906 to the James Bay area, where Scott photographed the local Aboriginal population and scenery.  The fonds is arranged into three series. The photographs in series 1 depict the customs and traditions of native peoples. Series 2 depicts the photographs of the James Bay Indian Treaty Tours of 1905 and 1906. Series 3 includes views of northern Ontario.",Consult the individual series descriptions for information on access restrictions.,Consult the individual series descriptions for information on terms governing use of this material.,The Archives of Ontario received this collection prior to 1960. The source of the acquisition is unknown.,,"Records created by Duncan C. Scott also exist at Library and Archives of Canada in Ottawa, Ontario; at the National Film Board of Canada; as part of the Pelham Edgar fonds (fonds 9) in the E.J Pratt Library Archives, Victoria University, at the University of Toronto (Scott directed the ""Makers of Canada"" series with Edgar); and at the Canadian Canoe Museum in Peterborough, Ontario.","The Ontario Government's copy of the James Bay Treaty (Treaty Number 9) can be found in RG 1-653.  Additional documentation will be found in RG 1-273-5 (Crown land survey correspondence and reports relating to Indian reserves and land claims) concerning the allocation of land for Indian reserves in northern Ontario and the Ontario government's position in these negotiations.  In F 1075-10, there is correspondence from Duncan Campbell Scott, as a notable Canadian literary figure, with Melvin O. Hammond in his capacity as literary editor of the Globe newspaper.",Copy negatives have been created for all the photographs in this fonds.,,Title based on contents of the fonds.,No further accruals are expected.,Accession Number: 15327.,Review,Y,,1904,1907,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Scott, Duncan Campbell, 1862-1947",,,Consult the individual series descriptions for information on how to order this material.,Consult the individual series descriptions for finding aid information. : : :,: :,: : : : :
88,C 276,Fonds,Topographic maps collection,1906-1988,,2954 maps,,"Material in this collection is an artificial accumulation of documents created by the Archives of Ontario from numerous sources over a period of many years.  Collection consists of federally- produced maps, index sheets and map sheets prepared as part of the National Topographic System.  Included in the collection are maps depicting topographical and cultural features of regions throughout Ontario.  Each series in the collection has been divided into two subseries, consisting of index sheets and map sheets.  The series are established based on the scale of map.  Scales include 1:25000 (1960-1977); 1:50000 (1950-1988); 1:63360 (1906-1951); 1:125000 (1963-1972); 1:126720 (1907- 1957); 1:250000 (1907-1982); 1:253440 (1926-1953).",No access restrictions.,Copyright transferred to the Archives of Ontario.  No restrictions on reproduction or publication of material for which the donor is authorized to transfer the copyright to the Archives.  Other material may require permission of the copyright holders.,,,,,,,Title based on contents of collection.,,,Approved,Y,,1906,1988,,Cartographic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/13/2002,,,,First consult the inventory for C 276 in order to narrow down your search.,Inventory is available for this collection. : : :,: :,: : : : :
89,C 277,Fonds,Township plan collection,1783-1967,,898 plans,,"Material in this collection is an artificial accumulation of plans received from numerous sources by the Archives of Ontario.  The collection consists of plans for 455 townships in Ontario.  The plans are arranged alphabetically by township name, and within townships in chronological order according to the date of the plan.",Some of the materials are restricted due to conservation reasons. Please consult inventory for C 277 for details.  Researchers are to use reference copies where available.  No access restrictions for remainder of collection.,Copyright transferred to the Archives of Ontario by donor.  No restrictions on reproduction or publication of material for which the donor is authorized to transfer the copyright to the Archives.  Other material may require permission of third party copyright holders.,"The majority of plans in the collection were created upon instruction from the Surveyor General's Office and its successors, as well as by non-government creators.  However, many of the plans are of unknown provenance.  The plans were acquired over many years by the Archives of Ontario from many sources.",,,"Township plans may also be found in Series RG 1-470, Ministry of Natural Resources township survey plans.    Office copies of township plans were used at the Ministry to record Crown patent information and/or to document locations. Originally held by the Patents Office, these plans are now available through the Archives of Ontario Reading Room as Series RG 1-100, Patent plans.",,,Title based on contents of fonds.,,,Approved,Y,,1783,1967,,Cartographic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/20/2002,,,,Please consult the online list to narrow down your search.,An online item list is available for this collection. : : :,: :,: : : : :
90,C 278,Fonds,Harry Beattie fonds,[191-],,"309 photographs : black and white, prints and nitrate negatives",,"Fonds consists of photographic prints and negatives believed to have been produced by Harry Beattie. The majority of the photographs appear to have been taken in the Niagara region, particularly around the Winona area. Other Ontario locations depicted include Stoney Creek, Grimsby, Sudbury, Ruel, Owen Sound, Port Arthur, Toronto, Jerseyville and Niagara Falls. Also included in the collection are photos of Chicago, and Victoria, British Columbia.  Subjects of the prints and negatives include various aspects and scenes of orchards and vineyards, including the harvesting and transportation of fruit. Other subjects include fishing in Lake Ontario, winter scenes, views from the Niagara Escarpment, Great Lakes steamships, a 1912 train wreck at Grimsby, Ontario, and the installation of Bell telephone lines. As well, there are numerous family portraits of Beattie's family, his wife's family (the Orrs) and his mother's family (the Wentworths).  Fonds includes 195 cellulose nitrate film negatives as well as 194 black and white gelatin photographic prints.",See series descriptions for more information.,Copyright restrictions for these records have expired. Permission of the Archives of Ontario is required for publication.,"Fonds was donated to the Archives of Ontario in 1983 by John Slobodian of Calgary, Alberta, whose wife was a distant relative of Harry Beattie by marriage.",,,,Corresponding prints are available for some negatives in this fonds. See series C 278-1 for more information about accessing corresponding prints.,,Title based on contents of fonds.,,Accession number 15778.,Approved,Y,,1910,1920,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/05/2003,"Beattie, Harry",,,First consult the series descriptions for C 278 to narrow down your search.,See series descriptions for more information. : : :,: :,: : : : :
91,C 281,Fonds,Archives of Ontario documentary art collection,[1830?]-[1930?],,118 prints; 15 drawings; 8 watercolours; 4 paintings; 2 bronze plaques,,"Collection consists of drawings, paintings, prints and bronze plaques which are an artificial amalgamation of discreet items created by various individuals. The records in this collection illustrate various geographical places in Ontario and Quebec including Niagara Falls and Toronto, portraits of significant individuals, and political cartoons and newspaper illustrations.",No restrictions on access.,"Copyright for much of this collection has expired, and most of the items can be reproduced and/or published. Copyright for other portions of the collection rests with the creator. Permission of the Archives of Ontario is required for publication.",These records were acquired from a variety of sources.,,,,Some of the items from this fonds are available in digital format in the Archives of Ontario Visual Database. Search using reference code C 281.,,Title based on the contents of the collection.,,,Approved,Y,,1825,1930,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/20/2002,,,,"To view these records, first consult the Inventory for C 281, particularly the listings in appendices A1 and/or A2. Then request C 281 and the relevant container number.","There are two item listings for this collection. The first listing has been arranged into the following subject headings, and items are listed alphabetically within these headings: Places / Buildings, Cartoons, Costume, Portraits.  The second listing is organized by name of artist, where known. Both of these are found in the inventory for C 281. : : :",: :,: : : : :
92,C 283,Fonds,Charles Trevelyan fonds,1929-1960,,4 film reels,,"Fonds consists of home movie footage photographed by Charles Trevelyan.  Fonds includes footage of the Trevelyan family fishing, swimming and boating at their cottage at Willow Beach on Lake Simcoe. Also included is footage depicting an early Shriners' parade, as well as city street scenes from Toronto, Beamsville and Thornbury, Ontario, as well as family activities at these locales.",No access restrictions.,Copyright held by Archives of Ontario. These materials cannot be published or reproduced without permission of the copyright holder.,"Fonds was donated to the Archives of Ontario in 1992 by Charles Lake Trevelyan, son of Charles Trevelyan.",,,,A videocassette copy of the footage is available for use by researchers.,,Title is based on contents of fonds.,,Accession number 24794.,Approved,Y,,1929,1960,,Sound recordings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Trevelyan, Charles, 1896-1981",,,"To view records, please consult with a Reference Archivist.",A list of the fonds contents is available. Please contact a Reference Archivist. : : :,: :,: : : : :
93,C 284,Fonds,"Playing With Time, Inc. fonds",1986-1988,,1.1 metres of textual records,,"The fonds consists of a complete set of draft scripts, representing three seasons of ""Degrassi Junior High,"" 1986- 1988.  Material represents 42 episodes, each of which generated 3 or 4 draft scripts, including an outline and shooting script for each episode. Fonds also includes a draft script for a television production entitled ""Danger""",No access restrictions.,Copyright held by creator. This material cannot be published or reproduced without permission of the copyright holder.,"Fonds was donated to the Archives of Ontario in 1988 by Laura Vickers, Outreach Co-ordinator with Playing With Time, Inc.",,,,,,Title based on immediate source of acquisition.,,Accession number 24795.,Approved,Y,,1986,1988,,Textual records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Playing With Time, Inc.",,,"To view these records, please consult with a Reference Archivist.",No finding aid is available for these records. : : :,: :,: : : : :
94,C 285,Fonds,McCarthy Aero Service Limited fonds,1917-[ca. 1920],,1132 photographs : black and white prints; 5 photographs : black and white prints (mounted),,"Fonds consists of photographs created and/or accumulated by McCarthy Aero Service Limited.  The majority of photographs consist of aerial oblique images of various cities, towns and locations throughout Ontario, as well as some aerial photographs taken in Quebec and the United States. Also included are several larger sized prints, including a montage featuring Camp Borden. The majority of photographs were taken in 1919 or 1920, from an estimated height of between 200 and 300 feet; the Camp Borden photographs were taken at a height of approximately 5000 feet.  The majority of photographs depict views of southern Ontario cities and towns, including along the St. Lawrence River, Lake Ontario, Toronto, Ottawa and the Niagara Falls and Niagara River region. Photographs taken in Qu�bec include images of Montr�al, Vaudreuil, Coteau-du-Lac and Hull. American photographs include views of cities along the Canadian border, such as Detroit and Buffalo, as well as two aerial photographs of Fort Worth, Texas.  Fonds also includes photographs of aircraft created and/or accumulated by McCarthy Aero Service Limited. The majority of photographs depict a Curtiss Jn-4 aircraft in flight.",Consult the individual series descriptions for information on access restrictions.,Consult the individual series descriptions for information on terms governing use of this material.,,The records were donated to the Archives of Ontario in 1959 by W.A. Higgins of the Ontario Department of Highways.,,,,,Title based on contents of fonds.,,Accession number 2455.,Approved,Y,,1917-1920,,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,McCarthy Aero Service Limited,,,Consult the individual series descriptions for information on how to order this material.,Consult the individual series descriptions for finding aid information. : : :,: :,: : : : :
95,C 286,Fonds,Connon family fonds,"1832-1967, predominant [ca. 1860]-1923",,316 photographs : black and white negatives and prints; 28 centimetres of textual records; 1 painting,,"The Connon family fonds consists of photographs and textual records that document the work of Thomas Connon and John R. Connon in Elora, Ontario. Particular subjects include buildings, the surrounding landscape, village life and prominent residents. There are views of the mill, the Elora Falls, the Grand River and the Elora Gorge, shop fronts, churches, bridges and events. There are also numerous portraits of people connected to Elora's history and to the Connon family.  Fonds includes photographs in many formats such as collodion and gelatine glass plate negatives and stereograph negatives, tintypes, albumen and early gelatine prints (on cabinet cards). Included are some of Thomas Connon's earliest negatives which are probably the oldest glass negatives in the Archives' holdings. The textual records include correspondence, patents, clippings, a notebook and financial records of the Connon family.  Fonds is arranged by format into 6 series.",Please see individual series descriptions for information on access restrictions.,Please see individual series descriptions for information on copyright.,,"The Connon family fonds was acquired by the Archives of Ontario in a number of installments and from a few different sources. The major Connon acquisitions were a 1965 accrual (including most of the glass plate negatives and lantern slides) and a 1974 accrual (including most of the glass stereographs and textual material). One glass stereograph was acquired in 1967 and a few letters and copy prints were acquired in 1976.  The 1965 accrual was originally acquired as part of the Kay Marston collection, which included Connon photographs, Elora newspapers, municipal records and the papers of a few other individuals. The Connon material from this accrual was separated and grouped with other Connon acquisitions for the purpose of restoring provenance.","Additional material related to both Thomas and John R. Connon is available at the Regional Collection of the D.B. Weldon Library, University of Western Ontario.",Copies of John R. Connon's published works may be found in the Archives of Ontario library.,Please see individual series descriptions for information on other formats.,,Title based on contents of fonds.,No further accruals are expected.,,Approved,Y,,1832,1967,,Textual records,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Connon (family) | Connon, John R., 1862-1931Connon, Thomas, 1832-1899",,,Please see individual series descriptions for information on how to order your records.,Please see individual series descriptions for the availability of finding aids. : : :,: :,: : : : :
96,C 287,Fonds,George Wilson and Sons Limited fonds,"1846-1964, predominant 1882-1923",,ca. 800 posters; ca. 900 items of textual records,,"Fonds consists of posters and ephemera printed by George Wilson and Sons, Limited.  The fonds includes broadsides, handbills, playbills and ephemera pertaining to local events in Port Hope, Ontario.  Included in the fonds are newsprint advertising broadsides relating to events including auctions, concerts, sporting events, excursions, church functions, and public or private political meetings. Information relating to the contents of the broadsides is on the backs of the documents, presumably supplied by the advertising clients when submitting a printing request.  Also included in the fonds are other textual materials dealing with activities, organizations, various products and services in Port Hope and surrounding area.  These materials include ephemera such as handbills, playbills, ticket stubs, church bulletins, certificates and financial statements, circulars and open letters, ballots, membership cards, programs and menus.",Access to some items is restricted due to conservation reasons. See a Reference Archivist for details.,Copyright held by creator.  These materials cannot be published without permission of the copyright holder.,,Fonds was acquired by the Archives of Ontario in 1988 from a Port Hope collector.,,,,,Title based on contents of fonds.,,Accession number 21445.,Approved,Y,,1846,1964,,Textual records,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,George Wilson and Sons Limited,,,Please consult the inventory for C 287 to narrow your search.,Inventory is available for this fonds. : : :,: :,: : : : :
97,C 288,Fonds,Wayne Roberts collection,"1971-1973, 1986",,47 audio cassettes; 1 item of textual records,,"Collection consists of oral interviews by Dr. Wayne Roberts regarding Toronto labour history, conducted 1971-1973, as well as interviews with Jim Best in 1986 relating to the development of the Civil Service Association of Ontario.  Collection includes a 16-page summary of the contents of the interviews with Jim Best.",No access restrictions.,Copyright held by creator. These materials cannot be published or reproduced without permission of the copyright holder.,Collection donated to the Archives of Ontario in two accessions in 1990 by Wayne Roberts.,,,,,,Title based on immediate source of acquisition.,,"Accession numbers 24113, 24114.",Approved,Y,,1971,1986,,Sound recordings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Roberts, Wayne",,,"To access records, please consult a Reference Archivist.",No finding aid is available for these records. : : :,: :,: : : : :
98,C 289,Fonds,George Hutchison collection,1991-1994,,81 audio cassettes; 14 photographs,,"Collection consists of oral history interviews conducted by George Hutchison with political leaders, advisors, speech writers and political columnists in regard to Ontario politics during the period 1960-1994.  Interviewees include Norman Atkins, William Davis, Cardinal Emmett Carter, Donald MacDonald, Robert Nixon, David Peterson, and Claire Hoy.  Collection also includes 14 colour photographs depicting some of the interviewees at the time of the interviews.",No access restrictions.,"Copyright in the interviews (sound recordings) transferred to the Archives of Ontario.  There are no restrictions on reproduction of material for research and private study.  Permission of the Archives is required for publication, broadcast or exhibit; submit a Request for Permission to Publish, Broadcast and Exhibit form.",The collection was acquired by the Archives of Ontario from Hutchison in four accessions in 1993 and 1994.,,,,,,Title based on immediate source of acquisition.,,"Accession numbers 27231, 28034, 28754, 29834.",Approved,Y,1960-1994,1991,1994,,Graphic materials,Sound recordings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Hutchison, George, 1940-",,,Consult the online list to identify the records that you require. Please note that this material is stored off-site. A minimum of 1-2 business days is required to retrieve the material from storage. Order using reference code and container barcode number.,An online list is available for this fonds. : : :,: :,: : : : :
