SISN,REFA,HEADING,DATEEX_BEGINNING,DATEEX_END,FUN,ADM,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,SOURCE,SUC_1,SUC_2,SUC_3,SUC_4,DATECONT_1_BEGINNING,DATECONT_1_END,CONTAG_1,DATECONT_2_BEGINNING,DATECONT_2_END,CONTAG_2,DATECONT_3_BEGINNING,DATECONT_3_END,CONTAG_3,DATECONT_4_BEGINNING,DATECONT_4_END,CONTAG_4,DATECONT_5_BEGINNING,DATECONT_5_END,CONTAG_5,DATECONT_6_BEGINNING,DATECONT_6_END,CONTAG_6,DATECONT_7_BEGINNING,DATECONT_7_END,CONTAG_7,DATECONT_8_BEGINNING,DATECONT_8_END,CONTAG_8,DATECONT_9_BEGINNING,DATECONT_9_END,CONTAG_9,DATECONT_10_BEGINNING,DATECONT_10_END,CONTAG_10,DATECONT_11_BEGINNING,DATECONT_11_END,CONTAG_11,DATECONT_12_BEGINNING,DATECONT_12_END,CONTAG_12,DATECONT_13_BEGINNING,DATECONT_13_END,CONTAG_13,DATECONT_14_BEGINNING,DATECONT_14_END,CONTAG_14,AUTHTP_1,AUTHTP_2,NAME,AA,PAR_1,PAR_2,PAR_3,PAR_4,SEEALSO,PRED_1,PRED_2,PRED_3,PRED_4,PRED_5,RULES,STATUSA,WEBA
3732,AA103,Ontario. Executive Council,,1867,"The Executive Council, also known as the Cabinet, serves with the Lieutenant Governor as the executive branch of the Government of Ontario. The Cabinet is responsible for initiating, approving, and executing Government policy, setting the broad direction and priorities of the Government, and for coordinating the Government's legislative program for each session of Parliament.","The Executive Council is composed of the Premier and all Cabinet Ministers. Members of the Executive Council are selected from the Legislative Assembly, and generally serve as political heads of government Ministries. Under the terms of the British North America Act of 1867, the Executive Council consisted of only five executive officers. These were the Attorney General, the Secretary and Registrar, the Treasurer, the Commissioner of Crown Lands and the Commissioner of Agriculture and Public Works. Since then, however, the Executive Council has expanded as the number of Departments/Ministries within the Government has increased. In addition, legislation passed in 1910 also allowed for the inclusion of Ministers without Portfolios within the Executive Council. The Cabinet is supported in its policy development and analysis role by the Cabinet Office, the central agency of the Cabinet, and by various Cabinet committees - both standing committees and ad hoc committees. The two primary standing committees of the Cabinet are the Management Board of Cabinet (known as the Treasury Board prior to 1971) and the Policy and Priorities Board of Cabinet (established in 1971). The Executive Council is responsible to the Legislative Assembly for its actions and must resign if it cannot maintain majority support in that body.",Ontario. Cabinet,,,,,,,,,,,"Bell, George and Andrew Pascoe. The Ontario Government: Structure and Functions (1988). Canadiana Name Authorities, 1996-12- 24. Hodgetts, J.E. From Arm's Length to Hands-On: The Formative Years of Ontario Public Service 1867-1940 (1995). KWIC Indexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Executive Council,,,,,,,,,,,,Rules for Archival Description,Approved,Y
3734,AA109,Upper Canada. Executive Council,,,"The Executive Council of the Province of Upper Canada acted as an advisory body to the Lieutenant Governor. The Executive Council, along with the Lieutenant Governor, also performed a judicial role by acting as a Court of Appeal.","Although the structure and responsibilities of the Executive Council were not defined by the Constitutional Act of 1791, it was understood that such a body would exist as part of the English governmental system being established in the new Province of Upper Canada. Members of the Executive Council were generally appointed by the Crown - on the recommendation of the Lieutenant Governor - or by the Lieutenant Governor himself. Most were also members of the Legislative Council (of the thirty-six appointments to the Executive Council between 1791 and 1841, twenty-four were members of the Legislative Council). However, being a member of the Legislative Council was not a pre-requisite for appointment. The Executive Council of Upper Canada was not responsible to the Legislative Assembly (unlike the current Executive Council of the Province of Ontario), rather it was simply an advisory body to the Lieutenant Governor. In the absence of the Lieutenant Governor, the administrator of the province was chosen from among the senior members of the Council. Three members of the Council together constituted a quorum. With the union of Upper and Lower Canada in 1841, the Executive Council of Upper Canada was dissolved, and replaced by the Executive Council of the Province of Canada.",,,,,,,,,,,,"Armstrong, Frederick. Handbook of Upper Canadian Chronology and Territorial Legislation (1967). Bishop, Olga. Publications of the Province of Upper Canada and of Great Britain relating to Upper Canada, 1791-1840 (1984). Canadiana Name Authorities, 1996-12- 24. Ewart, Alison and Julia Jarvis. ""The Personnel of the Family Compact, 1791- 1841"". Canadian Historical Review. March 1926, p. 209-215.",Canada (Province). Executive Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Executive Council,,,,,,,,,,,,Rules for Archival Description,Approved,Y
3735,AA55,Upper Canada. Legislature. House of Assembly,,,"The House of Assembly of Upper Canada was the representative assembly for the people of the Province of Canada, consisting of at least sixteen members elected from various districts for a maximum of four years. Although the Assembly could consider and approve bills, their power to effect legislation was limited.","The Constitutional Act of 1791 established a Lower House of the Upper Canadian Legislature to be known as the House of Assembly. The House of Assembly was one of two bodies that together formed the Legislature of Upper Canada. The Upper House of the Legislature, the Legislative Council, was appointed by the Lieutenant Governor and could reject or amend the bills of the Legislative Assembly. The House of Assembly periodically struck committees to examine particular addresses, bills, resolutions or petitions. The committees generally issued their reports and then dissolved. However, a number of committees, such as those on Education and on Grievances, re- appeared from time to time. In 1841, at the union of Upper and Lower Canada, the Legislative Assembly of Upper Canada was replaced with the Legislative Assembly for the Province of Canada.",Canada. Legislature. Legislative Assembly.,Canada. Legislative Assembly,,,,,,,,,,"Canadian Encyclopedia. Canadiana Name Authorities, 1996-12- 24",Canada (Province). Legislature. Legislative Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,House of Assembly,,,,,,,,,,,,RAD,Approved,Y
3736,AA12,Canada (Province). Legislature. Legislative Assembly,,,"The Legislative Assembly of the Province of Canada was the representative assembly for the people of the Province of Canada. Although the Assembly could consider and approve bills, their power to effect legislation was limited.","The Legislative Assembly of the Province of Canada was formed in 1841 when the former colonies of Upper Canada and Lower Canada were united to form the Province of Canada. The Legislative Assembly was one of two bodies that together formed the Legislature of the Province of Canada. The Upper House of the Legislature, the Legislative Council, was appointed by the Lieutenant Governor and could reject or amend the bills of the Legislative Assembly. The Legislative Assembly periodically struck committees to examine particular addresses, bills, resolutions or petitions. The committees generally issued their reports and then dissolved. The Legislative Assembly continued to exist until 1867 at Confederation, and was replaced at the federal level by the Parliament of Canada, and at the provincial level by the Legislative Assembly of Ontario and the Legislative Assembly (currently the Assemblee Nationale) of Quebec.",Canada. Legislature. Legislative Assembly.,Canada. Legislative Assembly,,,,,,,,,,"Canadian Encyclopedia. Canadiana Name Authorities, 1996-12- 24",Ontario. Legislative Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Legislative Assembly,,,,,,,Upper Canada. Legislature. House of Assembly,,,,,RAD,Review,Y
3738,AA83,Upper Canada. Legislature. Legislative Council,,,"The Legislative Council of Upper Canada reviewed, amended and, if necessary, rejected initiatives of the House of Assembly. Members of the Council were appointed by the Lieutenant-Governor. There was also a provision for hereditary membership for those individuals given titles by the King. No such titles were granted.","The Legislative Council of Upper Canada was established through the Constitutional Act of 1791 and together with the Legislative Assembly was one of two bodies that together formed the Legislature of the colony. The Council periodically struck committees to examine or amend particular bills and resolutions (commonly sent up from the House of Assembly) or to report upon petitions and other documents proposing legislation. These temporary bodies, known as select committees, issued reports and then dissolved. The Legislative Council of Upper Canada was replaced by the Legislative Council of the Province of Canada in 1841.",,,,,,,,,,,,"Canadian Encyclopedia. Canadiana Name Authorities, 1996-12- 24",Canada (Province). Legislature. Legislative Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Legislative Council,,,,,,,,,,,,RAD,Approved,Y
3739,AA102,Canada (Province). Legislature. Legislative Council,,,"The Legislative Council of the Province of Canada reviewed, amended and, if necessary, rejected initiatives of the House of Assembly. Members of the Council were appointed by the Lieutenant-Governor.","The Legislative Council of the Province of Canada was established through the Union Act of 1840 which merged the former colonies of Upper and Lower Canada into the Province of Canada. Together with the Legislative Assembly, the Legislative Council was one of two bodies that together formed the Legislature of the colony. The Council periodically struck committees to examine or amend particular bills and resolutions (commonly sent up from the House of Assembly) or to report upon petitions and other documents proposing legislation. These temporary bodies, known as select committees, issued reports and then dissolved. In 1867, at Confederation, the Legislative Council of the Province of Canada was replaced at the federal level with the Senate of the Dominion of Canada, and in Quebec with the Legislative Council of Quebec. Ontario, however, decided upon a unicameral legislature, and no subsequent Legislative Council was created in the province.",,,,,,,,,,,,"Canadian Encyclopedia. Canadiana Name Authorities, 1996-12- 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Legislative Council,,,,,,,Upper Canada. Legislature. Legislative Council,,,,,RAD,Approved,Y
3741,AA44,Ontario. Management Board of Cabinet,,,"The Management Board of Cabinet is responsible for coordinating the financial and administrative operations of the Government of Ontario and for the management of the public service. The Board reviews all Ministry submissions with financial or administrative implications, including program proposals, annual estimates, new legislation and regulations, as well as organizational changes.","With the passage of the Management Board of Cabinet Act in 1971, the Treasury Board was converted into the Management Board of Cabinet. With this change, the Board was given additional responsibility for the management of the public service. The Management Board consists of a Chairman (usually a Cabinet Minister), a Vice-Chairman, and between four and six other members of the Executive Council. From 1971 to 2005, the Board was supported by the Management Board Secretariat. The Secretariat was abolished in 2005 and most of its functions transferred to the new Ministry of Government services; the Deputy Minister of Government Services also served as Secretary to the Management Board. The Secretariat was also assisted by the Civil Service Commission of Ontario. In 1991, the financial management functions of the Management Board of Cabinet and its Secretariat were transferred to a new Treasury Board, which was established within the Ministry of Treasury and Economics. In 1995, however, the Treasury Board was dissolved and these functions once again became the responsibility of the Management Board and the Management Board Secretariat. These functions were transferred to the Ministry of Finance in 2005. In 2014, the Management Board along with the Treasury Board became a joint sub-committee of cabinet as a result of the re-establishment of the Treasury Board and Treasury Board Secretariat.",MBC,,,,,,,,,,,"Canadiana Name Authorities, 1996-12- 24. Bell, George and Andrew Pascoe. The Ontario Government: Structure and Functions (1988). Government of Ontario Telephone Directories, 1971-2006. KWIK Indexes, 1992-2006. Minsitry of Government Services Web site",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Management Board of Cabinet,,,,,,,Ontario. Treasury Board (1886-1971),,,,,Rules for Archival Description,Approved,Y
3742,AA107,Ontario. Minister Responsible for Francophone Affairs,,1978,"The Minister Responsible for Francophone Affairs oversees development of policy within the Ontario government as it relates to the provision of French language services, and is responsible to the Cabinet and Legislative Assembly for the provision of these services. Since 1986, the Minister is responsible for the administration of the French Language Services Act. The Minister also oversees operation of the agencies in the Ontario government concerned with the provision of French language services, such as the Office of the Government Coordinator of French Language Services and the Office of Francophone Affairs.","A Minister of the Ontario government was first made responsible for French Language Services in 1978. The Minister Responsible for Francophone Affairs is also responsible for another portfolio within the Ontario government. The position of Minister responsible for French Language Services has been held by the following individuals: Rene Brunelle (1978-1981, who also acted as Provincial Secretary for Social Development); Thomas Wells (1981-1985, also Minister of Intergovernmental Affairs); Alan Pope (1985, also Minister of Health); Bernard Grandmaitre (1985-1989, also Minister of Municipal Affairs and later Minister of Revenue); Charles Beer (1989-1990, also Minister of Community and Social Services); Gilles Pouliot (1990-1995, also Minister of Mines, of Transportation and of Northern Development and Mines); Noble Villeneuve (1995-1999, also Minister of Agriculture, Food and Rural Affairs), John Baird (1999-2003, also Minister of Community and Social Services), and Monique Meilleur (2003- , also Minister of Culture, and later Minister of Community and Social Services).",Ontario. Minister Responsible for French Language Services.,,,,,,,,,,,"Government of Ontario Telephone Directories, 1978-2006. Annual Reports of the Office of the Government Coordinator of French Language Services. Annual Reports of the Office of Francophone Affairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Minister Responsible for Francophone Affairs,,,,,,,,,,,,Rules for Archival Description,Approved,Y
3743,AA68,Ontario. Ministry of Agriculture and Food,,,"The Ministry of Agriculture and Food was responsible for promoting, regulating, developing and enhancing the farming industry in the province. The Ministry conducted a variety of activities including: agricultural and horticultural research and development, and education; provision of financial assistance through grants to agricultural and horticultural programs and societies; collection and dissemination of agricultural information and statistics; maintenance of a crop insurance plan; inspection and regulation of farm products; and the development and expansion of both domestic and international markets for Ontario-produced agricultural products.","The Ministry of Agriculture and Food was established in 1972, replacing the Department of Agriculture and Food. The many divisions and branches that have existed within the Ministry since 1972 have tended to focus around six functional areas: agricultural education; agricultural and horticultural research and development; quality assurance, standards and inspection; crop insurance and stabilization; finance and administration; and policy development. Agencies which reported to the Ministry included: the Agricultural Council of Ontario; the Farm Products Appeal Tribunal; the Ontario Food Terminal Board; the Ontario Stock Yards Board; the Agricultural Research Institute of Ontario; the Ontario Farm Machinery Board; and the various Colleges of Agricultural and Food Technology in the province. In 1994, the Ministry of Agriculture and Food was renamed the Ministry of Agriculture, Food and Rural Affairs.",,,,,,,,,,,,"KWIC Indexes, 1975-1994. Canadiana Name Authorities, 1996-12-24. Government of Ontario Telephone Directories, 1972-1994","Ontario. Ministry of Agriculture, Food and Rural Affairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Ministry of Agriculture and Food,,,,,,,Ontario. Dept. of Agriculture and Food,,,,,Rules for Archival Description,Approved,Y
3746,AA9,Ontario. Ministry of Citizenship and Culture,,,"The role of the Ministry of Citizenship and Culture was to encourage equal and responsible citizenship through programs emphasizing the participation of all Ontarians as equal members of the community. The Ministry also aimed to develop programs and services that would recognize cultural diversity and the sharing of cultural heritage, stimulate cultural expression and cultural preservation, and foster the development of individual and community excellence.","The Ministry of Citizenship and Culture was established on February 13, 1982 to take over the culture and citizenship functions of the Ministry of Culture and Recreation. The Ministry's programs and branches were organized into divisions, which included: the Arts, Heritage and Libraries Division (1982); the Culture and Regional Services Division (1983) which was divided to form the Culture Division (1984-1987) and the Regional Services Branch (1984-1987); the Multiculturalism and Citizenship Division (1982-1987); and the Finance and Administration Division (1982-1987). Agencies which reported to the Ministry included the Art Gallery of Ontario, the Ontario Arts Council, TV Ontario, the Ontario Film Development Corporation, the Conservation Review Board, the Ontario Science Centre, the Royal Ontario Museum, the Royal Botanical Gardens, and the McMichael Canadian Collection. In 1987, the Ministry was divided to create the Ministry of Citizenship and the Ministry of Culture and Communications.",MCC,,,,,,,,,,,"Canadiana Name Authorities, 1996-12-24. Government of Ontario Telephone Directories, 1975-1982",Ontario. Ministry of Citizenship (1987-1995).,Ontario. Ministry of Culture and Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Ministry of Citizenship and Culture,,,,,,,Ontario. Ministry of Culture and Recreation,,,,,Rules for Archival Description,Approved,Y
3751,AA81,Ontario. Ministry of Correctional Services (1972-1993),,,"The Ontario Ministry of Correctional Services was responsible for supervising the detention and release of inmates, parolees and probationers and for providing treatment and rehabilitation programs for these individuals. The principal functions of the Ministry were to provide for the secure custody of persons awaiting trial or convicted of an offence; to establish, maintain and operate correctional facilities, such as jails, detention centres, correctional centres, treatment centres and young offenders facilities; to provide programs and facilities designed to assist in the rehabilitation of inmates; to establish and operate a system of parole; to provide probation services; and to provide programs for the prevention of crime.","The Ministry of Correctional Services was established in April 1972, replacing the Department of Correctional Services. Since 1972, the administrative structure of the Ministry has remained fairly stable. However, a few functions have been added or removed from the mandate of the Ministry over time. Responsibility for probation services was transferred to the Ministry of Correctional Services from the Ministry of the Attorney General in 1972. In 1977, the Children's Services Division was transferred to the Ministry of Community and Social Services. And, in 1984, with the passage of the federal Young Offenders Act, the Ministry assumed responsibility for detention and parole of young offenders aged 16 and 17. Other divisions and branches which formed a part of the Ministry included the Operations Division (known as the Institutions Division until 1986), the Community Programs Division (reduced to branch status as part of the Operations Division in 1986), and the Corporate Services Division (established in 1987). In February 1993, the Ministry merged with the Ministry of the Solicitor General to form the Ministry of the Solicitor General and Correctional Services.",,,,,,,,,,,,"Canadiana Name Authorities, 1996-12- 24. KWIC Indexes, 1977-1992",Ontario. Ministry of the Solicitor General and Correctional Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Ministry of Correctional Services,,,,,,,Ontario. Dept. of Correctional Services,,,,,Rules for Archival Description,Approved,Y
3752,AA10,Ontario. Ministry of Culture and Communications,,,"The Ministry of Culture and Communications was responsible for promoting cultural expression and development and encouraging heritage preservation by supporting a number of community and provincial cultural and historical facilities and institutions. The ministry also advocated Ontario's interests in the communications field and provided broadcasting, cable and telecommunications policy advice on issues affecting Ontario consumers, suppliers and manufacturers of communications systems and services.","The Ministry of Culture and Communications was established in September 1987, with the merging of the cultural functions of the former Ministry of Citizenship and Culture, and the communications functions of the Ministry of Transportation and Communications. The branches of the Ministry were organized into three divisions: the Culture Division; the Communications Division and the Finance and Administration Division (renamed the Corporate Services Division in 1991). Agencies which reported to the Ministry included the Archives of Ontario, the Art Gallery of Ontario, CJRT-FM Inc., the Conservation Review Board, the Ontario Arts Council, TVOntario, the Ontario Film Development Corp., the Ontario Heritage Foundation, the Ontario Science Centre, the Royal Botanical Gardens, the Royal Ontario Museum, and Science North, among others. On February 3, 1993 the Ministry of Culture and Communications was amalgamated with the Ministry of Tourism and Recreation to form the Ministry of Culture, Tourism and Recreation. At this time, the communications functions of the Ministry were transferred to the Ministry of Economic Development and Trade.",,,,,,,,,,,,"KWIC Indexes, 1988-1995. Canadiana Name Authorities, 1996-12-24. Government of Ontario telephone Directories, 1987-1993","Ontario. Ministry of Culture, Tourism and Recreation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Ministry of Culture and Communications,,,,,,,Ontario. Ministry of Citizenship and Culture.,Ontario. Ministry of Transportation and Communications,,,,Rules for Archival Description,Approved,Y
3753,AA5,Ontario. Ministry of Culture and Recreation,,,"The Ministry of Culture and Recreation was responsible for developing policies and operating programs related to heritage conservation, arts support, sports and fitness, libraries and community information, and multicultural support and citizenship.","The Ministry of Culture and Recreation was established on April 1, 1975. The cultural functions of this new Ministry were transferred from the Ministry of Colleges and Universities, while the recreational and citizenship functions were acquired from the Ministry of Community and Social Services. The various branches of the Ministry were divided into divisions, which included: the Finance and Administration Division (1975-1982); Field Services (1975-1980); the Sports and Fitness Division (1975- 1978); the Community Programs, Sports and Recreation Division (1981-1982); the Heritage Conservation Division (1975- 1980); the Multiculturalism and Citizenship Division (1975-1982); and the Arts Division (1975-1979). Agencies which reported to the Ministry included the Ontario Arts Council, the Ontario Heritage Foundation, the Ontario Conservation Review Board, the Art Gallery of Ontario, and the Ontario Science Centre, among others. The Ministry of Culture and Recreation continued until 1982 when its functions were assumed by the Ministry of Citizenship and Culture, and the Ministry of Tourism and Recreation.",MCR,,,,,,,,,,,"Government of Ontario Telephone Directories, 1975-1982. Canadiana Name Authorities, 1996-12-24",Ontario. Ministry of Citizenship and Culture.,Ontario. Ministry of Tourism and Recreation (1982-1993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Ministry of Culture and Recreation,,,,,,,,,,,,Rules for Archival Description,Approved,Y
3755,AA30,Ontario. Ministry of Economic Development and Trade (1993-1995),,,"The Ministry of Economic Development and Trade worked to develop a more productive and internationally competitive economy for Ontario. Through its programs and services, the Ministry acted to advance Ontario's interests with governments abroad; promote cooperation for economic development at all levels of government; deliver a range of programs to stimulate opportunities for business and trade development; and provide leadership in the development of economic policy.","The Ministry of Industry, Trade and Technology was renamed the Ministry of Economic Development and Trade in 1993. The branches of the Ministry were organized into divisions, each headed by an Assistant Deputy Minister. These divisions included the Corporate Resources Division, the Policy Division, the Sector Development Division, the Trade and Investment Marketing Division, the Technology and Communications Division, and the Financial and Business Services Division. In 1995 the Ministry acquired the tourism function from the Ministry of Culture, Tourism and Recreation and was renamed the Ministry of Economic Development, Trade and Tourism.",MEDT,,,,,,,,,,,"Government of Ontario Government Telephone Directory, 1992-1995. Canadiana Name Authorities, 1996-12-24","Ontario. Ministry of Economic Development, Trade and Tourism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Ministry of Economic Development and Trade,,,,,,,"Ontario. Ministry of Industry, Trade and Technology",,,,,Rules for Archival Description,Approved,Y
3759,AA66,Ontario. Ministry of Energy (1973-1993),,,The Ministry of Energy was responsible for maintaining and ensuring the availability of an adequate and secure supply of energy to Ontario residents and industries. Activities included: reviewing and analysing energy matters and policy; maintaining communications between the government and Ontario Hydro; supporting research and development in alternative sources of energy and energy technologies; and promoting effective and efficient use of energy.,"The Ministry of Energy was established in 1973 on the recommendation of the Advisory Committee on Energy, which was established in 1971. The ministry was presided over by the Minister of Energy, assisted in the day-to-day operation of the ministry by a Deputy Minister. Although the administrative structure of the ministry changed often during its existence, certain core functions remained constant, including: energy policy  review and development; energy conservation and planning; and energy technology development. Agencies which reported to the ministry included the Ontario Energy Board, the Ontario Energy Corporation, and Ontario Hydro. With the reorganization of government in 1993, the Ministry of Energy was amalgamated with the Ministry of the Environment to form the Ministry of Environment and Energy. The Ministry was re-established August 22, 2002 when the Ministry of Environment and Energy split to re-form the Ministry of the Environment, and the Ministry of Energy. In June 2008 the Ministry of Energy merged with the Ministry of Public Infrastructure Renewal to establish the new Ministry of Energy and Infrastructure.",,,,,,,,,,,,"Canadiana Name Authorities, 1996-12-24, 2017-09-07. KWIC Indexes, 1975-1996, 2001-2006. Government of Ontario Telephone Directories, 1972-1996. Ministry of Energy and Infrastructure Annual Reports.",Ontario. Ministry of Environment and Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Ministry of Energy,,,,,,,,,,,,Rules for Archival Description,Approved,Y
3760,AA98,"Ontario. Ministry of Energy, Science and Technology",,,"The Ministry of Energy, Science and Technology ensured access to affordable energy and encouraged job creation and economic growth by fostering an effective and efficient framework of energy policy and regulation in Ontario. The ministry was responsible for introducing competition into the electricity industry. The ministry also stimulated private sector involvement in scientific research, innovation and technology development.","The Ministry of Energy, Science and Technology was created in late 1997 when the Ministry of Environment and Energy was divided to form the Ministry of the Environment and the Ministry of Energy, Science and Technology. The ministry was divided into the Energy Division and the Science and Technology Division, and also maintained a Market Design Committee Secretariat. Agencies which reported to the ministry included the Ontario Energy Board and Ontario Hydro. On April 14, 2002, the Ministry was dissolved and the Energy functions of the Ministry of Energy, Science and Technology were assigned to the re-established Ministry of Environment and Energy, while the Science and Technology Division moved to the newly-formed Ministry of Enterprise, Opportunity and Innovation.",MEST.,Ministry of Energy,,,,,,,,,,"KWIC Indexes, 2001-2003. Canadiana Name Authorities 2017-09-07",Ontario. Ministry of Envrionment and Energy (2002),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,"Ministry of Energy, Science and Technology",,,,,,,Ontario. Ministry of Environment and Energy,,,,,Rules for Archival Description,Approved,Y
3761,AA67,Ontario. Ministry of Environment and Energy,,,"The Ministry of Environment and Energy was responsible for the protection of the environment of Ontario and for ensuring an environmentally safe and affordable  supply of energy for domestic and industrial use within the province. Activities and programmes of the Ministry included: environmental assessment, waste reduction, and industry conservation; air quality and meteorology; environmental monitoring and reporting; water quality; laboratory services; standards development; and energy research, development and management.","The Ministry of Environment and Energy was established with the amalgamation of the Ministry of the Environment and the Ministry of Energy in 1993. The Ministry consisted of a number of branches which were organized into divisions. These divisions included: the Conservation and Prevention Division; the Environmental Sciences and Standards Division; the Corporate Management Division; the Policy Division; and the Operations Division. Agencies which reported to the Ministry included: the Advisory Committee on Environmental Standards; the Environmental Appeal Board; the Environmental Assessment Board; the Environmental Compensation Corporation; the Farm Pollution Advisory Committee; the Ontario Clean Water Agency; the Ontario Energy Board; the Ontario Energy Corporation; Ontario Hydro; and the Ontario Waste Management Corporation, among others. In 1997, the Ministry of Environment and Energy was divided to form the Ministry of the Environment and the Ministry of Energy, Science and Technology. The Ministry of Environment and Energy was re-established for a brief time from April to August 2002. On April 15, 2002, the energy-related functions of the former Ministry of Energy, Science and Technology (1997-2002) merged with Ministry of the Environment to re-form the Ministry of Environment and Energy. On August 22, 2002 the Ministry of Environment and Energy was split again into the Ministry of the Environment and the Ministry of Energy.",,,,,,,,,,,,"Canadiana Name Authorities, 1996-12-24, 2017-09-07. KWIC Indexes, 1993-1996, 2000-2003. Government of Ontario Telephone Directories, 1993-1996",Ontario. Ministry of the Environment (1997- ).,"Ontario. Ministry of Energy, Science and Technology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Ministry of Environment and Energy,,,,,,,Ontario. Ministry of the Environment (1972-1993).,Ontario. Ministry of Energy,,,,Rules for Archival Description,Approved,Y
3762,AA90,Ontario. Ministry of Finance,,1993,"The core mandate of the Ministry of Finance was to act as the custodian of the funds of the Province of Ontario and to supervise and control all matters relating to the province's financial affairs. The principal functions are to recommend taxation, fiscal, economic, and regional policies to the government; to implement expenditure management policies; to provide advice to ensure consistency among these policies and other government programs; to develop the provincial budget and manage the province's finances; to administer the province's major tax statutes and tax assistance programs; and to supervise financial institutions operating in Ontario.","The Ministry of Finance was established in 1993 with the merging of the Ministry of Revenue, the Ministry of Financial Institutions, and the Ministry of Treasury and Economics. The branches of the Ministry are organized into seven divisions or functional areas, each of which is presided over by an Assistant Deputy Minister. These divisions include the Office of Economic Policy, the Office of the Budget and Taxation, the Office of the Controller, the Tax Division, Corporate Services, the Property Assessment Division, and the Deposit Institutions Division. A Treasury Division, which included the Treasury Board, also existed within the Ministry from 1993 until 1995. Agencies which report to the Ministry include the Ontario Insurance Commission, the Ontario Securities Commission, the Pension Commission of Ontario, the Fair Tax Commission, and the Stadium Corporation, the Ontario Financing Authority, and the Office of Social Contract Adjudication.",MOF.,MFO,,,,,,,,,,"Canadiana Name Authorities, 1996-12- 24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Ministry of Finance,,,,,,,Ontario. Ministry of Treasury and Economics.,Ontario. Ministry of Revenue.,Ontario. Ministry of Financial Institutions,,,Rules for Archival Description,Approved,Y
